stem,leader,date,words,wer,mean_logprob,fear,anger,sadness,disgust,anticipation,trust,joy,surprise,positive,negative,net,nearest_event,outcome
1939-10-01_Churchill_01,Churchill,1939-10-01,558,,-0.218,26.9,14.3,14.3,10.8,25.1,34.1,14.3,9.0,44.8,43.0,1.8,Britain and France declare war on Germany,context
1939-11-12_Churchill_03,Churchill,1939-11-12,1009,,-0.127,48.6,26.8,17.8,7.9,28.7,28.7,12.9,6.9,50.5,55.5,-5.0,Britain and France declare war on Germany,context
1939-12-18_Churchill_06,Churchill,1939-12-18,594,,-0.141,40.4,33.7,21.9,8.4,25.3,43.8,11.8,10.1,52.2,53.9,-1.7,Britain and France declare war on Germany,context
1940-01-20_Churchill_07,Churchill,1940-01-20,1390,,-0.163,46.0,36.7,23.7,15.8,26.6,45.3,23.0,15.1,57.6,66.2,-8.6,Germany invades Denmark and Norway,defeat
1940-02-23_Churchill_09,Churchill,1940-02-23,303,,-0.189,29.7,19.8,29.7,16.5,26.4,52.8,36.3,13.2,75.9,46.2,29.7,Germany invades Denmark and Norway,defeat
1940-03-12_Churchill_10,Churchill,1940-03-12,1262,,-0.162,24.6,20.6,11.1,4.0,26.1,26.1,11.9,11.9,50.7,38.8,11.9,Germany invades Denmark and Norway,defeat
1940-03-30_Churchill_11,Churchill,1940-03-30,794,,-0.17,49.1,31.5,23.9,11.3,30.2,37.8,17.6,17.6,47.9,56.7,-8.8,Germany invades Denmark and Norway,defeat
1940-04-01_Churchill_13,Churchill,1940-04-01,656,,-0.195,38.1,35.1,22.9,4.6,33.5,41.2,19.8,15.2,73.2,61.0,12.2,Germany invades Denmark and Norway,defeat
1940-05-01_Churchill_14,Churchill,1940-05-01,3431,,-0.204,31.2,16.0,16.0,5.0,26.8,48.7,14.0,8.2,68.2,40.2,28.0,Germany invades France and the Low Countries,defeat
1940-05-13_Churchill_15,Churchill,1940-05-13,715,,-0.167,21.0,11.2,8.4,2.8,30.8,46.2,16.8,11.2,62.9,32.2,30.7,Germany invades France and the Low Countries,defeat
1940-05-19_Churchill_19,Churchill,1940-05-19,1434,0.994,-0.155,41.8,27.9,25.1,7.0,20.2,28.6,9.8,10.5,43.9,56.5,-12.6,Germany invades France and the Low Countries,defeat
1940-05-26_FDR_20,FDR,1940-05-26,3746,0.038,-0.113,36.6,24.3,16.6,5.6,29.6,41.4,19.2,14.1,64.6,42.2,22.4,Dunkirk evacuation completed,mixed
1940-05-28_Churchill_21,Churchill,1940-05-28,343,,-0.152,58.3,26.2,26.2,11.7,37.9,37.9,11.7,14.6,52.5,64.1,-11.6,Dunkirk evacuation completed,mixed
1940-06-01_Churchill_22,Churchill,1940-06-01,1739,0.917,-0.185,39.1,31.6,19.0,8.1,25.9,35.1,12.1,12.1,58.1,46.6,11.5,Dunkirk evacuation completed,mixed
1940-06-04_Churchill_23,Churchill,1940-06-04,1519,0.627,-0.134,46.1,29.6,21.1,10.5,29.0,34.9,18.4,12.5,61.9,53.3,8.6,Dunkirk evacuation completed,mixed
1940-06-17_Churchill_24,Churchill,1940-06-17,3573,0.563,-0.415,36.1,29.4,12.6,9.0,28.8,31.3,14.0,11.8,49.0,46.7,2.3,France signs armistice with Germany,defeat
1940-06-19_Churchill_25,Churchill,1940-06-19,1847,0.727,-0.272,34.7,35.7,15.2,7.6,26.5,28.2,13.5,9.7,49.3,46.6,2.7,France signs armistice with Germany,defeat
1940-07-14_Churchill_26,Churchill,1940-07-14,2242,,-0.124,38.8,28.1,19.6,9.4,27.7,31.7,12.5,7.6,58.4,50.0,8.4,France signs armistice with Germany,defeat
1940-08-20_Churchill_28,Churchill,1940-08-20,1442,0.727,-0.116,48.5,34.7,28.4,15.3,23.6,32.6,16.6,13.9,51.3,58.9,-7.6,The Blitz begins over London,defeat
1940-09-11_Churchill_29,Churchill,1940-09-11,2134,,-0.099,44.5,32.8,23.4,13.1,28.1,30.5,18.7,14.5,53.4,54.8,-1.4,The Blitz begins over London,defeat
1940-09-15_Churchill_30,Churchill,1940-09-15,1702,,-0.186,29.4,27.6,14.7,7.1,20.0,26.4,9.4,6.5,49.4,44.7,4.7,The Blitz begins over London,defeat
1940-09-17_Churchill_31,Churchill,1940-09-17,2208,,-0.191,34.0,22.2,21.7,7.7,28.5,37.6,15.4,11.3,48.5,46.6,1.9,The Blitz begins over London,defeat
1940-10-21_Churchill_35,Churchill,1940-10-21,1137,,-0.253,25.5,24.6,14.1,13.2,31.7,33.4,22.0,9.7,47.5,45.7,1.8,Battle of Britain ends in RAF victory,victory
1940-12-01_Churchill_36,Churchill,1940-12-01,1668,,-0.262,38.4,25.2,19.8,9.6,37.8,38.4,24.6,11.4,58.8,45.0,13.8,Battle of Britain ends in RAF victory,victory
1940-12-23_Churchill_37,Churchill,1940-12-23,1894,,-0.229,37.0,25.9,19.5,6.9,16.9,40.1,11.6,6.3,47.5,55.4,-7.9,Battle of Britain ends in RAF victory,victory
1940-12-29_FDR_38,FDR,1940-12-29,4021,0.008,-0.103,49.2,31.3,15.4,8.2,28.4,47.3,17.4,9.7,65.2,53.0,12.2,Battle of Britain ends in RAF victory,victory
1940-12-30_Churchill_39,Churchill,1940-12-30,1530,,-0.23,45.1,31.4,20.3,12.4,28.8,38.6,22.2,11.8,71.2,46.4,24.8,Battle of Britain ends in RAF victory,victory
1941-02-09_Churchill_40,Churchill,1941-02-09,4214,0.656,-0.199,36.5,26.3,16.6,8.3,27.3,36.5,18.5,10.4,52.0,44.6,7.4,Lend-Lease Act signed,context
1941-04-27_Churchill_42,Churchill,1941-04-27,3249,,-0.142,37.6,27.1,20.9,12.6,28.6,37.2,19.4,11.7,55.1,53.9,1.2,Lend-Lease Act signed,context
1941-06-12_Churchill_44,Churchill,1941-06-12,2200,,-0.2,41.4,32.7,28.6,20.0,25.9,38.6,21.8,12.3,58.2,64.5,-6.3,Germany invades the Soviet Union,mixed
1941-06-16_Churchill_45,Churchill,1941-06-16,310,,-0.153,54.8,35.5,51.6,16.1,38.7,51.6,29.0,12.9,77.4,90.3,-12.9,Germany invades the Soviet Union,mixed
1941-06-22_Churchill_46,Churchill,1941-06-22,2021,,-0.175,44.5,30.7,23.8,16.8,24.2,39.6,20.8,13.9,56.4,62.8,-6.4,Germany invades the Soviet Union,mixed
1941-07-14_Churchill_48,Churchill,1941-07-14,736,,-0.212,43.5,31.2,25.8,12.2,31.2,36.7,17.7,12.2,59.8,62.5,-2.7,Germany invades the Soviet Union,mixed
1941-07-29_Churchill_49,Churchill,1941-07-29,1557,,-0.193,40.5,28.3,18.6,11.6,23.1,45.6,19.9,14.8,64.2,57.8,6.4,Germany invades the Soviet Union,mixed
1941-08-14_Churchill_51,Churchill,1941-08-14,392,,-0.168,33.2,28.1,5.1,2.6,33.2,66.3,30.6,7.7,74.0,33.2,40.8,Germany invades the Soviet Union,mixed
1941-08-24_Churchill_54,Churchill,1941-08-24,3467,,-0.228,36.1,26.0,23.4,11.0,32.3,42.4,24.2,15.6,64.6,47.9,16.7,Germany invades the Soviet Union,mixed
1941-08-29_Churchill_55,Churchill,1941-08-29,584,,-0.16,24.0,17.1,10.3,5.1,25.7,36.0,20.5,12.0,51.4,37.7,13.7,Germany invades the Soviet Union,mixed
1941-09-09_Churchill_56,Churchill,1941-09-09,3116,,-0.129,30.8,16.0,13.2,5.5,26.0,37.5,19.3,8.7,60.3,35.3,25.0,Germany invades the Soviet Union,mixed
1941-09-11_FDR_58,FDR,1941-09-11,3023,0.025,-0.118,50.9,35.7,17.9,8.9,33.4,38.0,12.9,6.6,52.3,54.6,-2.3,Germany invades the Soviet Union,mixed
1941-10-29_Churchill_59,Churchill,1941-10-29,598,,-0.101,23.4,16.7,10.0,6.7,25.1,35.1,20.1,11.7,48.5,40.1,8.4,Attack on Pearl Harbor,defeat
1941-11-07_Churchill_61,Churchill,1941-11-07,467,,-0.125,38.5,23.6,32.1,15.0,30.0,23.6,12.8,12.8,47.1,62.1,-15.0,Attack on Pearl Harbor,defeat
1941-11-29_Churchill_62,Churchill,1941-11-29,585,,-0.109,23.9,17.1,10.3,5.1,22.2,32.5,18.8,8.5,49.6,37.6,12.0,Attack on Pearl Harbor,defeat
1941-12-08_Churchill_63,Churchill,1941-12-08,1973,,-0.187,36.0,19.3,10.1,5.6,25.3,33.5,12.2,7.1,49.2,46.1,3.1,United States declares war on Japan,context
1941-12-09_FDR_65,FDR,1941-12-09,3039,0.024,-0.083,47.4,34.9,19.1,14.8,29.0,41.5,19.1,9.9,57.6,52.6,5.0,United States declares war on Japan,context
1941-12-24_Churchill_66,Churchill,1941-12-24,480,,-0.398,20.8,20.8,16.7,18.8,45.8,50.0,58.3,16.7,100.0,37.5,62.5,Germany and Italy declare war on the United States,context
1941-12-30_Churchill_68,Churchill,1941-12-30,3374,,-0.385,45.3,34.4,19.3,14.8,29.3,35.3,21.0,12.4,65.8,55.7,10.1,Germany and Italy declare war on the United States,context
1942-02-15_Churchill_69,Churchill,1942-02-15,3010,,-0.127,39.9,30.9,22.3,12.6,25.2,38.2,18.6,11.6,51.2,53.2,-2.0,Fall of Singapore,defeat
1942-02-23_FDR_70,FDR,1942-02-23,4218,0.035,-0.179,36.7,29.2,18.0,11.4,23.9,37.0,15.4,6.2,64.5,46.0,18.5,Fall of Singapore,defeat
1942-04-28_FDR_71,FDR,1942-04-28,3870,0.056,-0.167,46.0,29.7,23.0,9.3,27.1,38.8,21.4,15.8,60.5,53.2,7.3,Battle of Midway,victory
1942-05-10_Churchill_72,Churchill,1942-05-10,1592,,-0.103,35.8,28.3,25.1,9.4,32.0,39.6,23.2,15.1,59.7,54.0,5.7,Battle of Midway,victory
1942-09-07_FDR_73,FDR,1942-09-07,3152,0.043,-0.128,34.3,24.1,24.4,9.8,29.8,31.1,17.4,11.7,51.4,50.1,1.3,Guadalcanal campaign begins,victory
1942-11-10_Churchill_75,Churchill,1942-11-10,382,,-0.21,49.7,39.3,36.6,18.3,28.8,41.9,23.6,7.9,70.7,65.4,5.3,Second Battle of El Alamein ends,victory
1943-03-21_Churchill_76,Churchill,1943-03-21,6198,,-0.235,25.8,15.0,12.6,6.3,39.9,53.6,28.2,14.4,78.6,38.6,40.0,German surrender at Stalingrad,victory
1943-05-02_FDR_77,FDR,1943-05-02,2490,0.037,-0.146,29.3,21.7,12.4,6.0,23.3,41.4,16.1,8.4,62.2,45.0,17.2,Axis surrender in Tunisia,victory
1943-05-19_Churchill_78,Churchill,1943-05-19,5629,,-0.273,41.9,24.9,18.3,13.5,27.5,39.8,19.7,11.2,66.1,51.0,15.1,Axis surrender in Tunisia,victory
1943-06-30_Churchill_81,Churchill,1943-06-30,2756,,-0.135,36.6,22.1,18.1,9.1,28.3,36.3,26.1,11.2,63.5,47.5,16.0,Allied invasion of Sicily,victory
1943-07-28_FDR_82,FDR,1943-07-28,3418,0.047,-0.212,38.9,26.6,13.5,5.9,31.9,46.5,18.7,6.4,67.9,50.9,17.0,Allied invasion of Sicily,victory
1943-08-31_Churchill_83,Churchill,1943-08-31,1330,,-0.143,29.3,13.5,12.8,5.3,30.8,38.3,30.8,12.8,70.7,39.1,31.6,Italy announces armistice,victory
1943-09-06_Churchill_84,Churchill,1943-09-06,1686,,-0.232,21.4,14.8,6.5,3.6,27.9,42.7,23.7,15.4,76.5,27.3,49.2,Italy announces armistice,victory
1943-09-08_FDR_86,FDR,1943-09-08,1436,0.031,-0.187,41.1,29.2,11.8,15.3,42.5,51.5,31.3,14.6,74.5,46.0,28.5,Italy announces armistice,victory
1943-10-28_Churchill_88,Churchill,1943-10-28,1664,,-0.162,31.2,16.2,18.6,9.0,24.6,36.7,14.4,7.8,58.3,38.5,19.8,Tehran Conference concludes,context
1944-01-11_FDR_89,FDR,1944-01-11,3469,0.049,-0.213,36.3,21.9,19.3,9.5,33.7,55.3,24.5,9.8,71.8,51.9,19.9,Tehran Conference concludes,context
1944-03-26_Churchill_90,Churchill,1944-03-26,5687,,-0.215,36.9,22.0,17.6,8.4,31.8,35.5,21.6,12.5,64.2,46.9,17.3,D-Day Normandy landings,victory
1944-06-05_FDR_91,FDR,1944-06-05,1719,0.071,-0.169,26.2,18.6,19.2,4.7,36.6,38.4,24.4,10.5,69.2,36.1,33.1,D-Day Normandy landings,victory
1944-06-12_FDR_92,FDR,1944-06-12,1609,0.038,-0.102,47.2,34.2,15.5,7.5,33.6,31.7,19.9,6.2,59.7,57.8,1.9,D-Day Normandy landings,victory
1944-11-09_Churchill_94,Churchill,1944-11-09,1156,,-0.207,29.4,16.4,11.2,7.8,31.1,26.8,16.4,11.2,50.2,36.3,13.9,US forces land at Leyte,victory
1945-05-08_Churchill_99,Churchill,1945-05-08,691,,-0.213,44.9,24.6,20.3,14.5,30.4,43.4,27.5,10.1,65.1,47.8,17.3,Victory in Europe Day,victory
